station_id,latitude,longitude,elevation,measure,slope_percentperyear,slope_lci,slope_uci,sigstat,intercept,start_year,end_year
2A03A,51.3833333333333,-116.5,1310,swe,-0.0489159769701333,-0.559515515300927,0.438287153652395,FALSE,97.5113012774383,1950,2014
2A07,51.4333333333333,-116.35,1648,swe,-0.479463488630343,-0.742877660430621,-0.217059566407072,TRUE,959.068217943228,1950,2014
2A14,51.25,-117.5,2031,swe,0.0,-0.340835336647413,0.321669823796419,FALSE,-2.96889333666916,1959,2014
2A27,51.5,-118.516666666667,964,swe,-0.0653184633774856,-0.388207754884465,0.260736551788073,FALSE,135.240103875235,1950,2014
2B05,50.1833333333333,-118.016666666667,1476,swe,-0.0869281045751635,-0.429920116194626,0.253968253968254,FALSE,172.834640522876,1958,2014
2B06,50.0666666666667,-118.35,1598,swe,-0.123426690640905,-0.424628450106157,0.206045640744708,FALSE,245.967299545912,1957,2014
2B07,49.7166666666667,-117.966666666667,1813,swe,-0.240980411246192,-0.518366673735303,0.120565855749652,FALSE,484.207441921313,1959,2014
2C01,50.65,-115.95,1374,swe,-0.649331613508443,-1.21951219512195,-0.159066808059385,TRUE,1292.72396810507,1950,2014
2C04,49.7166666666667,-116.0,1580,swe,-0.978712992414974,-1.44648023143684,-0.550526058233423,TRUE,1953.46219721067,1950,2014
2C07,49.5,-115.033333333333,1213,swe,-0.867942137190854,-1.39990667288847,-0.319978668088794,TRUE,1737.76948203453,1951,2014
2D02,50.6666666666667,-117.466666666667,929,swe,-0.156198561898987,-0.480810881053452,0.162778079218665,FALSE,314.168673655029,1950,2014
2D04,49.4,-117.216666666667,952,swe,-0.840950292036972,-1.23173208162722,-0.492217260418599,TRUE,1677.61602116231,1950,2014
2D05,49.6,-116.683333333333,1558,swe,-0.220458553791887,-0.516411559356345,0.110167799329353,FALSE,440.172147022862,1950,2014
2D10,49.6,-116.65,1926,swe,-0.255770324324062,-0.522586657040439,0.0750300120048018,FALSE,510.237617314132,1950,2014
2F02,49.8,-120.0,1304,swe,-0.274435206360741,-0.76271186440678,0.183916336098088,FALSE,556.722807617501,1950,2014
2F03,49.7833333333333,-119.183333333333,1266,swe,-0.60290404040404,-1.13636363636364,0.0,FALSE,1214.00252525252,1950,2014
2F07,49.9833333333333,-119.2,1358,swe,-0.341560310895063,-0.645610209249442,0.0,FALSE,681.703136340473,1950,2014
2F08,49.6,-119.416666666667,1548,swe,-0.0507762053121494,-0.448363473322372,0.389145656091116,FALSE,104.287044594921,1953,2014
2F09,50.0166666666667,-119.733333333333,1789,swe,-0.238611344930642,-0.627921579571618,0.153491941673062,FALSE,476.212400612709,1953,2014
2F10,50.3666666666667,-119.05,1834,swe,0.180807809415604,-0.241957784127569,0.609607923646084,FALSE,-360.285807082698,1959,2014
3A01,49.3833333333333,-123.066666666667,1126,swe,0.101293017014409,-0.545757453897857,0.752570804848625,FALSE,-194.816279722645,1950,2014
3A05,50.25,-124.333333333333,882,swe,-0.541589457694785,-1.35723431498079,0.546308151941955,FALSE,1090.83735615273,1950,2014
3A09,49.45,-123.016666666667,898,swe,-0.205822890132909,-0.826451762677014,0.371197800309331,FALSE,414.351840363182,1950,2014
3A10,49.3666666666667,-122.95,1007,swe,-0.0570807955520176,-0.695488120743133,0.474850510024623,FALSE,119.16865678089,1950,2014
3B01,49.65,-125.2,1110,swe,-0.324359382289729,-0.841826426615185,0.240762358011943,FALSE,653.267421170886,1955,2014
3B10,49.5166666666667,-125.7,1014,swe,-0.129557238787268,-0.844359644845315,0.493815847415994,FALSE,260.975277042492,1958,2014
3B18,49.7,-125.683333333333,1050,swe,-0.24878923060545,-0.930772136189501,0.350725732477203,FALSE,504.373061347108,1955,2014
3D01C,49.25,-121.233333333333,801,swe,-1.06831249749569,-2.34829361046454,0.0550420407311104,FALSE,2140.00401941339,1950,2014
3D02,49.0333333333333,-120.85,1254,swe,-0.718648939992814,-1.26343120095511,-0.234342045649831,TRUE,1438.62738052462,1950,2014
3D03A,49.1166666666667,-121.3,1134,swe,-1.14326995001444,-2.24348862481158,0.0393035412490664,FALSE,2286.53623121846,1950,2014
4A20,54.7166666666667,-121.216666666667,1566,swe,-0.452674897119342,-0.882066276803119,-0.0259909031838855,TRUE,910.349794238683,1950,2014
4B01,53.85,-127.433333333333,1415,swe,0.142514412575644,-0.0848075716199942,0.424576318872162,FALSE,-288.196369105168,1952,2014
1B01P,53.7166666666667,-126.416666666667,1489,swe,-0.13738896465298,-0.477445410363474,0.195085221438839,FALSE,271.051518558107,1953,2014
1B02P,53.5833333333333,-127.633333333333,1319,swe,0.222222222222222,-0.0399560483468186,0.509517050624159,FALSE,-448.206572769952,1952,2014
1B08P,53.15,-126.866666666667,1413,swe,0.153732998938941,-0.116475354490209,0.473097835743985,FALSE,-313.08297964695703,1952,2014
1C12P,50.7833333333333,-122.916666666667,1766,swe,-0.479144085053918,-0.860901160950535,-0.0474761669641841,TRUE,955.706343108068,1952,2014
1D09P,49.2166666666667,-121.566666666667,1408,swe,-0.167962188247614,-0.437541967206013,0.111396823333921,FALSE,331.646998565179,1950,2014
1D17P,49.0166666666667,-121.7,1621,swe,-0.0116133228039206,-0.321969363253525,0.315143350633665,FALSE,27.4329911274213,1950,2014
1F03P,50.4333333333333,-118.616666666667,1857,swe,-0.108991521018595,-0.313001291130327,0.119549104251166,FALSE,217.659979990274,1957,2014
2A06P,51.0333333333333,-118.133333333333,1770,swe,-0.155269563146181,-0.462682456623522,0.142913500115373,FALSE,305.636225594915,1959,2014
2B06P,50.0666666666667,-118.35,1595,swe,-0.110118298514977,-0.323612958901154,0.197354872663203,FALSE,221.545431663733,1957,2014
3B17P,49.7,-125.666666666667,1422,swe,-0.283794235067514,-0.777145724598781,0.187820399505038,FALSE,567.824958578736,1955,2014
3B23P,48.9666666666667,-124.266666666667,1134,swe,-0.284558540258467,-0.888698210345674,0.337858543760726,FALSE,572.967814240185,1950,2014
1A05,53.95,-121.433333333333,1693,depth,-0.0314542340893998,-0.401504046905869,0.339158698007443,FALSE,66.5108517107605,1953,2014
1B01,53.7166666666667,-126.416666666667,1489,depth,-0.243628185907046,-0.530222693531283,0.0369085406363034,FALSE,486.550877786913,1953,2014
1B02,53.5833333333333,-127.633333333333,1319,depth,-0.0390378471928533,-0.24450020083945,0.207388563212034,FALSE,78.0125831994115,1952,2014
1C01,49.8,-120.866666666667,994,depth,-0.937296239947838,-1.42782969885774,-0.542389853137516,TRUE,1868.03683981743,1950,2014
1C05,50.6833333333333,-122.616666666667,1715,depth,-0.520973416466306,-0.751619870410367,-0.208783297336212,TRUE,1036.53157558716,1952,2014
1C06,50.9,-121.816666666667,1209,depth,-6.77809219475886,-10.6879606879607,-2.61261261261262,TRUE,13537.5214958548,1955,2014
1C08,53.0166666666667,-123.65,1029,depth,-0.527272727272727,-2.54545454545455,0.947775628626693,FALSE,1081.60909090909,1957,2014
1F01A,50.1333333333333,-119.05,1262,depth,-1.18466898954704,-1.80275715800636,-0.577663671373556,TRUE,2372.89198606272,1950,2014
1F02,50.9833333333333,-119.183333333333,1168,depth,-0.54105959942092,-1.093231077578,0.0,FALSE,1083.6023427811,1956,2014
2A01A,52.7666666666667,-119.266666666667,866,depth,-2.51004016064257,-3.92875851231011,-0.974486180014174,TRUE,5045.83333333333,1950,2014
2A02,51.25,-117.483333333333,1249,depth,-0.211909302818394,-0.501813001813002,0.0342794460441517,FALSE,426.488662852299,1950,2014
2A03A,51.3833333333333,-116.5,1310,depth,-0.519683695528501,-1.02836879432624,-0.0579907214845623,TRUE,1038.52150821644,1950,2014
2A07,51.4333333333333,-116.35,1648,depth,-0.512092832592312,-0.801634100281343,-0.242802636142908,TRUE,1023.21382398386,1950,2014
2A14,51.25,-117.5,2031,depth,-0.0586579702189718,-0.347864238929455,0.236269718097797,FALSE,116.273819710154,1959,2014
2B05,50.1833333333333,-118.016666666667,1476,depth,-0.116914236395021,-0.46930362496593,0.185251430907604,FALSE,233.448458935223,1958,2014
2B06,50.0666666666667,-118.35,1598,depth,-0.200216186059486,-0.471890000813604,0.0589862501017023,FALSE,402.481955437776,1957,2014
2C01,50.65,-115.95,1374,depth,-0.801924619085806,-1.29541669236938,-0.343681979608202,TRUE,1598.47634322374,1950,2014
2C04,49.7166666666667,-116.0,1580,depth,-0.85098335854765506,-1.24810892586989,-0.469508059888361,TRUE,1700.39712556732,1950,2014
2C07,49.5,-115.033333333333,1213,depth,-0.798084596967279,-1.34676775738228,-0.312293972726326,TRUE,1601.91540303272,1951,2014
2D02,50.6666666666667,-117.466666666667,929,depth,-0.0137839118265282,-0.290860516223553,0.297324083250743,FALSE,27.3771291889476,1950,2014
2D04,49.4,-117.216666666667,952,depth,-0.856875778977981,-1.27813887127457,-0.460174029451137,TRUE,1712.95440382219,1950,2014
2D05,49.6,-116.683333333333,1558,depth,-0.409116410111508,-0.673133874401703,-0.0890674332608513,TRUE,818.898020860206,1950,2014
2F02,49.8,-120.0,1304,depth,-0.398051518113315,-0.864316092742489,0.0267165375367351,FALSE,803.549358388246,1950,2014
2F03,49.7833333333333,-119.183333333333,1266,depth,-1.0818234387047,-1.63272710780534,-0.462606013878181,TRUE,2172.02438319198,1950,2014
2F07,49.9833333333333,-119.2,1358,depth,-0.436394426069942,-0.737463126843658,-0.173520735727919,TRUE,873.476157841939,1950,2014
2F08,49.6,-119.416666666667,1548,depth,-0.282605623851914,-0.615350955161427,0.044621940608197,FALSE,566.384061042814,1953,2014
2F09,50.0166666666667,-119.733333333333,1789,depth,-0.248442061240968,-0.597813709861079,0.0465828864826815,FALSE,496.260946978323,1953,2014
2F10,50.3666666666667,-119.05,1834,depth,0.101511391833972,-0.194065896153184,0.372606520614111,FALSE,-202.87383394594,1959,2014
3A01,49.3833333333333,-123.066666666667,1126,depth,-0.276020595593598,-0.869943453675511,0.39490854147112,FALSE,558.53534034738,1950,2014
3A09,49.45,-123.016666666667,898,depth,-0.626623506374136,-1.26469694392787,0.0789861562656474,FALSE,1253.23822083683,1950,2014
3A10,49.3666666666667,-122.95,1007,depth,-0.514668603296839,-1.0703231218722,0.112817842575718,FALSE,1030.80584825772,1950,2014
3B01,49.65,-125.2,1110,depth,-0.411571461412395,-0.9186746133911,0.160673543494329,FALSE,824.851129782201,1955,2014
3D02,49.0333333333333,-120.85,1254,depth,-0.825227649006623,-1.35356488657179,-0.349187236604455,TRUE,1653.57124379139,1950,2014
3D03A,49.1166666666667,-121.3,1134,depth,-1.40421066742476,-2.65425978186256,-0.185798184730379,TRUE,2820.47835151146,1950,2014
4B01,53.85,-127.433333333333,1415,depth,-0.0442688001545381,-0.251736335235342,0.154914667837133,FALSE,85.1763910464334,1952,2014
